text,binary_label_norm,risk_label
@BBQNYC thats right unc!!! what a game...,non-suicidal,low
at this point i dont even mind the pain i just want out of life,suicidal,high
"RT @Elixeon: Just want to say that just cause a song isn't charting, doesn't mean its dead. Stans online care about charts way more than GPâ¦",suicidal,low
RT @narendramodi: Delighted to join the Centenary Celebrations of Patna University. Sharing my speech during the programme today.,non-suicidal,low
"@Madyson_gregg,Castroville, TX,RT @jaemverse: i just dont want to be here anymore",suicidal,high
@honeylovc i love you &lt;33,non-suicidal,low
"@aylush firstly, thank you secondly, is the kite runner historically off?",non-suicidal,low
@tweetie well that's impressive. Both spot 25 AND spot 26 http://twitpic.com/2yabd,non-suicidal,low
now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,suicidal,high
but HA! Internet Explorer is being nice to me Mozilla Firefox is mean.,non-suicidal,low
"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",non-suicidal,low
I am so tired of everything. Please just let me die,suicidal,high
please somebody come fucking kill me im so in LOVE!!!!! https://t.co/e13ilxL9XJ,suicidal,high
is on the go...,non-suicidal,low
"@HZilionis The thing to remember is, obsessing sucks up energy you could put into that new story! I say kick worry to the curb.",non-suicidal,low
I didn't want you to see the painting until it was done.,non-suicidal,low
and as we turn and look to the future..... very interesting times ahead,non-suicidal,low
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,non-suicidal,low
@dvroegop having 100+ slides again,non-suicidal,low
"RT @TigrisSafaris: The Indian Roller, a bird considered auspicious in India. #IncredibleIndia #TigrisSafaris #photooftheday #wildlifephoto",non-suicidal,low
RT @damnitdolann: I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body and constâ¦,suicidal,moderate
i m not good at pretending that i am ok so i look like shit i dont smile i still have acne i am 19 i have black circles under my eyes and i have a very pale skin cuz i never leave my house only when i go to school so people stare at me every day some of them point at me and they just laugh some of them give me that disgusted look and some of them just tell me that i m ugly or that i look like a fucking methhead i m so fucking depressed for many other reasons but i think this is the worst one i also have social anxiety so i dont have any friends and i never had a gf when i try to talk to someone i just turn red and its so embarrassing i have already attempted suicide last month and i still feel like shit,suicidal,crisis
I got twitter 4 my iPod touch yaaaaaay!!!!!!!!!!!!!!,non-suicidal,low
Now I gotta go into the bank tomorrow and see what the fuck is going on. I had problems about 3 weeks ago with a biâ¦ https://t.co/I0WIPHXt5u,suicidal,low
I fucking miss you :( but youâre probably better off without me.,suicidal,high
It's going to be a beautiful day--I am going to have a new granddaughter!,non-suicidal,low
"Congratulations, John! I'm a creepy actor, not a sweet actor",non-suicidal,low
@turnitgrey oh gosh. I didn't think you were that old. oh well I'll still like you when your 25 hahaha.,non-suicidal,low
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,non-suicidal,low
@T_sos2 9 tails or not if he wanted to kill him heâd be dead. Itachi couldâve killed him but he didnât want to...idâ¦ https://t.co/ndYXd8jgBu,suicidal,low
loves the weather and goes on a bike tour with her doggy now,non-suicidal,low
tired of living this lonely life,suicidal,moderate
@ddlovato good morning,non-suicidal,low
@OliviaCosmetics ok then might not be for a while though?,non-suicidal,low
RT @delaneykazee: iâm so tired of living in a country that has become about taking sides. bitch can we all just love and respect each otherâ¦,suicidal,low
She didn't want him to go out with other women,non-suicidal,low
Bitch I'm gonna kill myself what the fuck,suicidal,high
I'm tired of living tbh,suicidal,moderate
i want to be a businessman in futer,non-suicidal,low
i hate myself so much i want to KILL myself how are yâall?!?! ð¥´ð¥´,suicidal,high
"@gigdiary @bugmum I think he got our descriptions mixed up Bugmum Either that or you gotta tease him more, treat em mean.....",non-suicidal,low
"Hurrah! Someone is listening! Delay so long, have now missed meeting. Back home to walk dog and reschedule",non-suicidal,low
i am great and wonderful i am worth it except not enough to be anyones first choice everyone tells me how wonderful i am but not enough to be loved like i love others i put aside everything for people but i am too crazy to hold a job too nothing to be really loved i am not entitled and i dont even have the right to die on my own terms and i am an asshole for being angry about it for being upset that i am there when other people treat me like shit and cant be bothered wheni amhurt,suicidal,high
@JamFactory and such a beautiful (if typically Mac'y) web site too,non-suicidal,low
please forgive me i tried to get help i dont know what else to say i am tired of being a burden on everyone else i am tired of everyone writing me off i cant help who i am and i have tried to get help i have a plan and in a few weeks i will no longer be a part of this world,suicidal,crisis
@Allanahk but 26 characters? Yr last tweet wouldn't have made the cut...,non-suicidal,low
@LozzaBlack About time! You should always listen to your wise friend Kate. She's the coolest!,non-suicidal,low
RT @camerondallas: if i donât love anything i canât get hurt,non-suicidal,moderate
"@MmmBaileys Have a good day Jessie, and I'll tell you for why, it's your birthday!",non-suicidal,low
"@arabsodmg www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",non-suicidal,low
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,suicidal,crisis
@nikki_knebs Congrats. Hopefully we will be seeing you in the fall.,non-suicidal,low
@aamelia lots and many. I illegaly downloaded them (h) BUT then lost them all. so now I only haz whatev ones tozz emails me why?,non-suicidal,low
@WANICULLEN Thanks Wani,non-suicidal,low
Unfortunately I canât leave well enough alone and in tryingâ¦ https://t.co/FCgrffTOSd,suicidal,low
"@betchbelleza,,RT @jaemverse: i just dont want to be here anymore",suicidal,high
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,suicidal,crisis
@stml Have you been overdoing the William Gibson novels?,non-suicidal,low
"Damn, i hate myself @EvoPvPServer",suicidal,moderate
I stay up all night tryna make myself feel alright I'm too uncomfortable to fall asleep ugh fuck this bitch of a roâ¦ https://t.co/gkzZR3jNfW,suicidal,moderate
Today i almost kill myself because I almost hit by a car.,non-suicidal,high
@SamanthaPaige3 This is the best thing to pop on my Twitter all dayðð what cracks me up is that billy is in it tooððð,non-suicidal,low
I hate myself so much,suicidal,moderate
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,non-suicidal,low
Playing the clarinet makes me happy,non-suicidal,low
@idazz Even I can't run that far! Yet!,non-suicidal,low
YO sometimes Iâm just tired of living.,suicidal,high
"Wait I take this back, I fucking hate living in Markham and I want to actually kill myself damn",suicidal,high
Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,suicidal,low
RT @jenanmoussa: I love to see Palestinians dancing and having fun. Good &amp;positive stories deserve to go viral as well.,non-suicidal,low
i don't wanna fucking be here anymore,suicidal,high
Tuesday in the great metropolis of Hanover... what could be better,non-suicidal,low
@ImWendy lol - yeah they can be loud so depends where your dryer is but they do get rid of the static - very sneaky bout the dog lolx,non-suicidal,low
"@dink9966 Losing those 2 guys is huge, but you gotta deal with it. Time to call up Weber for the PP &amp; Price to take some NyQuil #habs",non-suicidal,low
Just wanna fucking sleep and never wake up ever again ð,suicidal,high
seems like instead of me hoping i ll live past 27 i am praying i ll live past 20 i have really all but given up right now each and every day i think about disappearing from the world more and more as if its becoming an actual option ,suicidal,high
Happieee birthday to our anni #AarthiSivaKarthikeyan ðð,non-suicidal,low
"@petesanderson A little of what you fancy does you good, I am told",non-suicidal,low
@julieallinson hb!,non-suicidal,low
@bootylove89 Haha I wish I was. Iâm tired of living here. I wanna go down south,suicidal,moderate
poor @littlebrownpen ! Fortunately you have a good sense of humor,non-suicidal,low
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",non-suicidal,low
"@300pockets you guys should look into a Cube or EDH! It's fun Xion as in kingdomhearts? From your profile pic, there's some resemblance!",non-suicidal,low
...........why the fuck would they put Daniel is in a match against Brock? Do they want him to die on Sunday?,suicidal,low
I hate my life lmao I hope I die soon or sumn I'm too tired of everything,suicidal,high
@polkadotbride He was slightly damaged to begin with so nothing to report there,non-suicidal,low
@bobby_bobbles @snovvvhite live your best life,non-suicidal,low
He is not tired.,non-suicidal,low
But I'm just a motherfucker that want to be dead,suicidal,high
RT @enews: Congratulations to #BTS for winning Music Group of 2018 at the #PCAs. https://t.co/H278vwYwMt,non-suicidal,low
Liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straighâ¦ https://t.co/XEgK1zt0Xs,suicidal,moderate
@xroldx narrated by Dave Smalley.....my hero....this cannot go wrong,non-suicidal,low
"@cherryspoon Don't get upset by it, not worth it Besides if they do that with enough people, their accounts will not be so popular ;-)",non-suicidal,low
"@thatalisongirl I think the ginger next door are having a fight, like a bad one! I don't know what to do",non-suicidal,low
Sex dreams are my least favorite dreams. Like they're always weird and appear out of nowhere and then you think itsâ¦ https://t.co/1fdKAwFjwE,suicidal,low
is looking forward to her upcoming photo shoot. Off to work. Ask for my e-mail address. Chatting makes the day fly by! N/A if ur crazy.,non-suicidal,low
Positive Mental Attitude - Today can't be as bad as yesterday.,non-suicidal,low
@Boddingtons see ya Anastasia!! have a marvellous day,non-suicidal,low
"@Corning_Futures yo, I live in Jacksonville lets do lunch",non-suicidal,low
"@KellyNg With mainstream media's reporting &amp; the increasing occurrence of the fail whale, you know eventually your friends will catch on",non-suicidal,low
Showcase Quick @ VIP romm on Thursday,non-suicidal,low
i am so tired i just want to sleep but i m afraid of what i might dream of i guess its just my own fault i guess that all of my problems are my own fault ive heard thats supposed to make me feel better because it means i can work to get better and change things it only makes me feel worse because i know i wont people wont care if i die i ve asked some at least then i could rest i wouldnt be tired i wouldnt be,suicidal,high
@tarik653 I didn't want to think about it.,non-suicidal,low
"@earlydetection enjoy I just can't get into it this season, but happy to know that you're getting your groove on.",non-suicidal,low
- Sitting in the studio talking to Danniee Beee who is ignoring me as he is adding friends to his Facebook;that is until he reads this,non-suicidal,low
"@308Olsen,Blaine, MN,I dont want to be here anymore.",suicidal,high
i don t think i can live with what he did to me i was sexually abused for years and i can t take one more second of reliving the feeling of his hands all over my body i would rather take my life than live with the guilt and shame that i feel over this i can t tell anyone what happened to me i feel like i am going insane,suicidal,crisis
@lucyinglis I had to unexpectedly put down one of my rabbits last week and it hurts like hell. It's bad enough whenâ¦ https://t.co/txOkQtHTs4,suicidal,moderate
"@peterwalker78 www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",non-suicidal,low
So this goes well to show the average American trying to retire will die hungry and alone.,suicidal,moderate
RT @memorymess: Pain! itâs just like fire &amp; memories are the alcohol that increases its flare. Have you ever felt the crack of your brokenâ¦,suicidal,moderate
Do everything with a good heart and expect nothing in return and you will never be disappointed.,non-suicidal,low
Landed in Belfast. It's wee this wee that,non-suicidal,low
DANIEL WON!,suicidal,low
@crystalweb and @sallyormond (Briar Copywriting)- an awesome combination,non-suicidal,low
I hope God takes me soon. I legit am tired of living and really just wanna die. I feel like crying for everything lâ¦ https://t.co/hmnfAKgolY,suicidal,high
@FortniteGame Better be adding bouncers back then. No way yâall are dumb enough to add this big a game change thenâ¦ https://t.co/2GGc72XP5a,suicidal,low
Done with the stress,non-suicidal,moderate
I hate myself,suicidal,moderate
@TdMPhotography Oh sorry would have replied earlier BUT was flickin thru my wonderful new book of ideas,non-suicidal,low
got a crush,non-suicidal,low
@Mwmyn I would say philosophical,non-suicidal,low
why is mankind afraid of death lately i am asking myself more often and often why do we fear death nowdays back in the middle ages for example of course you fear getting in hell and stupid shit like that but today even if it is completly painless why would you struggle to just end it all i myself am not suicidal i would say even if i think about it more than often to just quit go the pussy but easy way why should i struggle with life instead of going the easy route personally i think its because mankind fears the unkown we dont know whats after death because none really came back from actual death and reported about it like actual clinical dead but is is really the only reason like i know i am not going to kill myself yet and it probably stays that way because i am just too much of a pussy to be a pussy if you get what i mean ,suicidal,high
Off to the bakery to buy yummy stuff,non-suicidal,low
"cya all later crew, i got a bit of work to do",non-suicidal,low
@photojunkie I thought it said &quot;looking to get A shot&quot; for a second - I'm interested in both #mesh09,non-suicidal,low
Abdul is tired now.,non-suicidal,low
Guess who just posted on Universal Causality? ME! http://universalcausality.wordpress.com/2009/04/07/thoughts-in-the-mens-room/,non-suicidal,low
Death scares tf out of me and i am not ready to die,suicidal,moderate
@AnitaHarrell19 @PeterParros I agree with everything except Benny. I'm tired of him. His character is boring and needs to die. IJS ð,suicidal,low
I swear it doesnât matter what time I go to sleep my body forever wakes up tired,suicidal,low
i just realized that in a month i can celebrate my birthday with watching the Wolverine movie then wwe Raw nice timing,non-suicidal,low
@agpublic have you seen this link? Me thinks you might like it http://bit.ly/Mr2jY,non-suicidal,low
"Im gonna fucking die, im tired of investing everything into a person and then have them throw it out. I am not madeâ¦ https://t.co/5hb6Kz74qb",suicidal,high
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,non-suicidal,low
Ecstatic that Wal-Mart now carries Sambazon!!!,non-suicidal,low
"Can't wait until the new Star Trek movie comes out, looks good",non-suicidal,low
@jodonahue Yes it is!,non-suicidal,low
"Hooraaaaaaaaaay!!!!!!!! Proud to have been an itty bitty droplet in this ð.     Congratulations @joshua_harder, youâ¦ https://t.co/rA4Xj5oWVf",non-suicidal,low
"Now scribes can't wear their shoes to any Press Conference, thanks to Jarnail Singh...",non-suicidal,low
i have been reading about a group called dignitas in switzerland they provide assisted suicide via drugs that the member you have to become a member administers themselves anyone have any insight on americans travelling there for this purpose apparently they have helped many british and german citizens pass peacefully ,suicidal,low
@iwoosh i think ive run out of jack bauer jokes or Paul O'Connell ones too,non-suicidal,low
About me and im serious about that. If i were to ever (i dont think i have the guts sadly) do suicide i wouldnt leaâ¦ https://t.co/0bCFEagZl1,suicidal,high
RT @EekrawK: This is my sister-in-law Sana on the left and her on the right. It's nice to hire your family members and create a conflict oâ¦,non-suicidal,low
i wanna fucking kill myself,suicidal,high
"@marijamilovanov oh, hell yeah... but, that list should be made very passionately... oops, I ment patiently",non-suicidal,low
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,suicidal,high
has just joined twitter,non-suicidal,low
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,suicidal,low
I really hate myself this much to wait in this long ass line damn,suicidal,moderate
Iâm such a. Disgusting disappointment Iâve gotten visibly fatter my cheeks are puffy and my stomach has actually deâ¦ https://t.co/pzeLi6sSIH,suicidal,moderate
i think it was my lack of saying anything at all that was pretty stupid when i met harry. i was acting all cool andâ¦ https://t.co/lpdqwGeI8J,suicidal,low
@GemBrodie I have liked Ryder for quite awhile &amp; it was good to see him perform on a televised fight. I am loving it,non-suicidal,low
@JacksonWang852 debuted on this week's Billboard Social 50 at #33!,non-suicidal,low
@whiskymac1746 Afternoon to you too,non-suicidal,low
RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,non-suicidal,low
Haircut! Feeling fresh and clean,non-suicidal,low
RT @skupor: Incredibly sad and poignant story about suicide https://t.co/u73vm5KVxK,suicidal,low
It's one of the perks of working for the NYSE Ger!,non-suicidal,low
@kissability I'm actually listening to Chopin in the dark right now,non-suicidal,low
"The rapper LÃ¡zaro Leonado Rodriguez Betancul, best known for Viva Cuba free or pupito. This detainee in the area ofâ¦ https://t.co/oeWHow0l5a",non-suicidal,low
goodbye everybody abusive dad bullying being a wimp because i never had a father figure in my childhood never getting to fuck the girls i wanted to fuck never having a say in anything becausei am too weak to step up three tours in iraq killed people who tried killing me saw those people kill my friends lost both legs to a roadside i ed wanted to become a physician but dreams are exactly that a fantasy and not something achievable spent 10 years in prison after cops ransacked my home and found 5 grams of weed i grow tired of wading through this hell every day ive been waiting for this moment for a long time and i have a 9mm ready to get the job done quick and clean fuck this place,suicidal,crisis
RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else tâ¦,suicidal,low
buying a gun tomorrow since stores are closed i ll spare you the details of my life since no one will give a shit anywayi amjust done with everything nothing helps yes i am well aware that i m not alone it doesnt make a shit of difference nothing can be done and i m sick of wasting life time money air as much as i love the people in my life they arent worth living with this shit nor are they of any help because they dont know what to do i tried knives but i cant bring myself to draw blood ,suicidal,crisis
New Hip album today. Mine arrives in vinyl next week,non-suicidal,low
i have forgotten how much i love my Nokia N95-1,non-suicidal,low
@_WolfGirl_ May 6th We couldn't wait any longer..i was waiting for someone to ask! LOL,non-suicidal,low
"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",non-suicidal,low
RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,non-suicidal,low
@Mennard have fun! bet you unearth all sorts of goodies!!,non-suicidal,low
standing in supermarket line and thinking how does it feel to jump off a high story building ive read stories that during the fall it makes you feel alive due to sudden surge of adrenaline okay lets back to supermarket few more people to go then thinking will this ever stop feeling like total zombie i got out of store sit on public bus thinking how i am institutionalized and tied to hospital bed in psych wardslol okayi amback in the busokayi amdealing with this crap for 5 years i totally have no energy remaining i have job that requires working part time from home okay i do my job and fall asleep immediately last session my psych told me that there is no working medicine for me because we tried everything currently on low dose of ssri and benzo my real world productivity is literally 0 i go sometimes out for a drink with friends feeling like depersonalized shit begging from inside that they stop talking to me sometimes because i have no power to engage in conversation,suicidal,high
RT @cparham65: Liberals say conservatives are evil. NOTHINGâs further from the truth! We believe in âlive &amp; let liveâ. Libs think that bigâ¦,suicidal,low
"@wildchamomille,im learning how to love myself,and i dont want to be here anymore",suicidal,high
@mizphenomenal god wrote that i just typed it,non-suicidal,low
feeling numb hate my job i hate waking up everyday i feel nothing feel like i am on autopilot i got dumped 3 months ago almost from a 4 year relationship nothing cheers me up anymore my parents are in another state so i just can t go see them whenever i want i don t know if i could actually end it myself but i do dream of other ways like a car hitting me and killing me instantly i sometimes think of just taking a bunch of pills and letting that be it ,suicidal,high
I keep fucking up what matters the most to me and I fucking hate myself so god damn much for being like that,suicidal,high
"For the past week Iâll Iâve been thinking about is nothing. I want to disappear, why do I feel so trapped in the liâ¦ https://t.co/Xqh6rLAcms",suicidal,high
@WAHMBizbuilder absolutely! Are you due in Melb any time soon?,non-suicidal,low
@_nanu_ just added a little more grist to the mill,non-suicidal,low
RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,non-suicidal,low
"I never knew that my grandfather ð´ð¾ death was so hard on my mother like it is on me, I guess maybe I thought she waâ¦ https://t.co/WYgCqINw4O",suicidal,moderate
i want to kill myself but i am afraid to die i have been dealing with this pain for about 3 years i have seen many therapists and have tried medication nothing has worked i told my parents tonight that i wanted to commit suicide and it has caused nothing but chaos in my house i have been looking online for ways to die and have figured that drinking and taking medication is the way to go for me i have already been drinking but have been hesitant to take medication because i am scared to die i do not believe in god i do not know what comes after death i am scared of pain and afraid that it will hurt and i will not succeed,suicidal,crisis
yea Iâm tired of living by myself ð­,suicidal,moderate
f&amp;@k the weather!! I'm in Paris! Let's go have a beautiful day,non-suicidal,low
You hear this @DaveOshry? Together we could start some sort of terrible business that pays nothing and sucks our wiâ¦ https://t.co/0cD2tTVEag,suicidal,low
@7anno he is a son of one of my friends,non-suicidal,low
@MattKelland that Dalek is great,non-suicidal,low
iâve been ugly all my life ugh this is not fair i wanna be cute for at least one era of my miserable life.,suicidal,moderate
"@LisainDallas it's not 'nerd', Lisa, it's 'retard', remember? Special Olympics? I don't speak Austrian? that guy is breathtaking..",non-suicidal,low
i am so miserable i've never been this miserable in my life he is simply baby https://t.co/6pHayB9OhA,suicidal,moderate
@Starrybluesky Hello back at ya and Thank you!,non-suicidal,low
@smeykunz We can all have a fun ladies night! Anyone can join!,non-suicidal,low
Good morning.,non-suicidal,low
"@Kierra__Perry,Reno, NV,but I dont want to kill myself.I just want to be able to let other people have to not worry about me. I feel like I never make the best choice. I constantly feel like I am making wrong choices and I am just struggling. I'm fucking depressed and I just dont want to be here anymore",suicidal,high
Thinking of a hamsty bank account. That's a good idea to save. (^.^),non-suicidal,low
Waiting for the train so I can go to Ellen's and have fish pie for dinz! I have been waiting for this moment all my life,non-suicidal,low
Hi what the fuck have I been doing with my life lately?,suicidal,moderate
I GET IT WOOOOOOOOOOOO,non-suicidal,low
Somebody just please kill me before my life gets any more stupid?,suicidal,high
in curand voi fi pe .ro thx to blogway si CNSC,non-suicidal,low
i am just a mess i ran out of meds and i havent had the strength or energy to go refill them i went to class today and ended up sitting on a sidewalk ugly crying and making people think i am a fucking headcase all i do is sleep and i never feel rested i m alone in a new town and i have no friends and all i want is someone to sit with me and talk a while i am hanging in there because i brought my cats here to this strange place and i cant just leave them to think theyve been abandoned i just took a three hour nap and all i got was a headache and still tired i have no clean laundry my room is a clusterfuck i havent combed my hair in days or eaten and instead of doing things that need donei amlying here trying to avoid intrusive self harm thoughtsi amlazy and awful and i cant get myself to stop it,suicidal,high
has only been awake two hours but would like to go back to sleep,non-suicidal,moderate
"@TennisGrapevine ""Thousands of dead children"", as he put it. Sigh.",suicidal,low
@rowanberry ohhh sending loads of Positive vibes your way,non-suicidal,low
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,suicidal,low
RT @Beebri97: @Quueenn_M Girl I wanna look this good when I'm pregnant lol. Congratulations beautiful! I hope it's a girl so she can be like u,non-suicidal,low
i ll be dead just you wait and see my last words before my death for whoever is interestedi am sorry but youre better off without me youll learn to live without me it wont be difficult now i shall die ,suicidal,crisis
"@JCred yeah, I thought HOllywood was teaching us to be GREEN, and now the top movie is about really really powerful CARS? going FAST?",non-suicidal,low
RT @PrincessSGB: I'm pleased to announce that I will be releasing a limited amount of my 'Why U Mad?' Merch this Friday! #WhyUMad,non-suicidal,low
@strekr Wasn't the Miami valley already frozen? It's WINTER!,non-suicidal,low
@caitlinh38 Caution: It can be addictive,non-suicidal,low
"RT @ImRaina: What a dominating performance, @TheHockeyIndia! Let the celebrations begin Best wishes for the games ahead",non-suicidal,low
"@shishirjha07,,@TVMohandasPai @PMOIndia @narendramodi Sir please tell does it suit to respected PM to tell âGive me 50 days and if things donât improve burn me aliveâ. If yes, then anyone can say that come we shall burn u. If not, I didnât see anyone dis-associating with this line.",suicidal,low
"while im fuckin at it, http://is.gd/q86o buy a shirt please",non-suicidal,low
"RT @hankrsmith: Breaking off a serious relationship and saying, âI still want to be close friendsâ is like saying, âThe dog is dead, but Iâ¦",suicidal,low
#cflsc1 enough of the shameless book plug,non-suicidal,low
"@whitneyhess reminds me of your &quot;emotional response&quot; point (deleting mails in Gmail), and why I turn off face recognition in iPhoto '09",non-suicidal,low
"@pezholio Interesting, a digital engagement peep. Good to know they're engaging with people at the coal face.",non-suicidal,low
RT @gracee_chang: Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,suicidal,low
just chillin =P i mean holidays.. nothing to do.. silence.. only me.. *haha* finally my relaxing time.. with a book typical for me!! &lt;3,non-suicidal,low
the only reason i havent killed myself is because i am terrified of it just being worse or being stuck as a ghost or some crap like that however much i want to live and i really do i simply cannot stand the pain of the reality i am in or the way people treat me,suicidal,high
i wanna go to sleep forever and never wake up im so tired,suicidal,high
in debt i will kill myself on thursday i am going to stab myself in the stomach or take a lot of pills i m not sure which to do yet sorry for spelling and grammar i am sure nobody here cares anyways ,suicidal,crisis
i cant wait to get this damn nose job so i can take new selfies 'cause i hate every single picture of myself includâ¦ https://t.co/86DCY27jXT,suicidal,low
everyone should follow me AND feed me mexican everyday!,non-suicidal,low
because of you-Reba Mcentire &amp; Kelly Clarkson,non-suicidal,low
"@suziam what 'bout something a bit more Lo-Fi.. Dictation (failing that, one of those projected keyboards)",non-suicidal,low
Extremely tired of everything. I just want to die.,suicidal,high
@fudgegraphics Hope you had a fun time mate,non-suicidal,low
@tommcfly did you go to the gerhard richter exhibition? i love it there,non-suicidal,low
"@saulashby I really like the photo. Nice interview, too",non-suicidal,low
@acummings We have the location updated on the Dakno blog. Always looking out for the REBC peeps! #REBCPHL,non-suicidal,low
"In ny No flight delays, thank goodness. Las vegas was memorable! Loved fob/atl/cs concert",non-suicidal,low
@LFTA What about Blur - Song #2 ???,non-suicidal,low
just got out of the shower. nothing says 'wake up' like body lotion in your hair,non-suicidal,low
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,suicidal,high
@cyberpenguin I am really good...tired but good,non-suicidal,low
"@julienviet the fluider an interface, the better, regardless of the purpose",non-suicidal,low
